,names,spec
997,Metarossite,Powder
998,Diopside,Powder
999,Pyrite,Powder
1000,Chabazite-Ca,Powder
1001,Hopeite,Powder
1002,Stibarsen,"Powder, mixed with arsenic; a: 4.1392(5), alpha: 54.123(6)"
1003,Orthoclase,Powder
1004,Datolite,Powder
1005,Ullmannite,Powder
1006,Beryl,Powder
1007,Caryochroite,Powder
1008,Grossular,Powder
1009,Epidote,Powder
1010,Tobermorite,Powder
1011,Chalcocite,Powder
1012,Leadhillite,Powder
1013,Chrysocolla,Powder
1014,Cerussite,Powder
1015,Agardite-(Y),"Powder, using Mo radiation"
1016,Sylvite,Powder
1017,Ferro-actinolite,Powder
1018,Mesolite,"Powder, appears to be a mix of mesolite and barrierite"
1019,Sodalite,Powder
1020,Stilbite-Ca,Powder
1021,Ferrimolybdite,"Powder, using Mo radiation"
1022,Dioptase,Powder
1023,Gearksutite,Powder
1024,Schorlomite,"Powder, mixture of two garnet phases, the second phase is andradite"
1025,Braunite,Powder
1026,Catapleiite,Powder
1027,Libethenite,Powder
1028,Fluorite,Powder
1029,Bindheimite,Powder
1030,Howlite,Powder
1031,Reinhardbraunsite,Powder
1032,Molybdenum,Powder
1033,Magnesio-hastingsite,Powder
1034,Danburite,Powder
1035,Rhodizite,Powder
1036,Epidote,Powder
1037,Lorenzenite,Powder
1038,Euxenite-(Y),Powder
1039,Carrollite,Powder
1040,Plumbogummite,Powder
1041,Agardite-(Y),"Powder, using Mo radiation"
1042,Rossmanite,Powder
1043,Tsumgallite,"Powder, using Mo radiation"
1044,Vanadinite,Powder
1045,Topaz,Powder
1046,Anglesite,Powder
1047,Titanite,Powder
1048,Rostite,Powder
1049,Meneghinite,Powder
1050,Spodumene,Powder
1051,Tremolite,Powder
1052,Zaratite,Powder
1053,Cymrite,"Powder, using Mo radiation"
1054,Petzite,Powder
1055,Celsian,Powder
1056,Kornerupine,Powder
1057,Gedrite,Powder
1058,Thomsenolite,Powder
1059,Pectolite,Powder
1060,Descloizite,Powder
1061,Foitite,Powder
1062,Charoite,Powder
1063,Natrolite,Powder
1064,Meyerhofferite,Powder
1065,Beryl,Powder
1066,Meta-autunite,Powder
1067,Hubnerite,Powder
1068,Pyrite,Powder
1069,Ferberite,Powder
1070,Eosphorite,Powder
1071,Viitaniemiite,Powder
1072,Jeremejevite,Powder
1073,Goudeyite,"Powder, using Mo radiation"
1074,Diaspore,Powder
1075,Fluorapatite,Powder
1076,Topaz,Powder
1077,Beryl,Powder
1078,Pargasite,Powder
1079,Otavite,Powder
1080,Pezzottaite,Powder
1081,Beryl,Powder
1082,Ferroceladonite,Powder
1083,Lollingite,Powder
1084,Anorthite,Powder
1085,Rutile,Powder
1086,Canosioite,Powder
1087,Jadeite,Powder
1088,Wollastonite,Powder
1089,Thenardite,Powder
1090,Clinofergusonite-(Y),Powder
1091,Elbaite,Powder
1092,Phlogopite,Powder
1093,Sphalerite,Powder
1094,Triphylite,Powder
1095,Sodalite,Powder
1096,Fluorcalciopyrochlore,Powder
1097,Grossular,Powder
1098,Halotrichite,Powder
1099,Bukovskyite,"Powder, using Mo radiation"
1100,Proto-ferro-anthophyllite,Powder
1101,Castellaroite,Powder
1102,Sodalite,Powder
1103,Diaspore,Powder
1104,Destinezite,Powder
1105,Rhodonite,Powder
1106,Lepidocrocite,Powder
1107,Zincite,Powder
1108,Eucairite,"Powder, using Mo radiation"
1109,Tremolite,Powder
1110,Diaboleite,Powder
1111,Montebrasite,Powder
1112,Lazulite,Powder
1113,Diopside,Powder
1114,Paravauxite,Powder
1115,Metarossite,Powder
1116,Pyrope,Powder
1117,Nickeline,Powder
1118,Hydroxylherderite,Powder
1119,Siegenite,"Powder, mixed with chalcopyrite [a:5.2903(5), c: 10.432(1)]"
1120,Cornwallite,Powder
1121,Enstatite,Powder
1122,Arsenic,"Powder, with sharp diffraction peaks from pyrite (a = 5.4195(1))"
1123,Sodalite,Powder
1124,Vesuvianite,Powder
1125,Spangolite,Powder
1126,Parahopeite,Powder
1127,Senarmontite,Powder
1128,Microcline,Powder
1129,Tsumgallite,"Powder, using Mo radiation"
1130,Diaspore,Powder
1131,Yttrotungstite-(Y),Powder
1132,Epidote,Powder
1133,Bobdownsite,Powder
1134,Molybdite,Powder
1135,Inesite,Powder
1136,Chalcanthite,Powder
1137,Pyrargyrite,Powder
1138,Beryl,Powder
1139,Metatorbernite,Powder
1140,Kenoargentotetrahedrite-(Fe),Powder
1141,Bisbeeite,Powder
1142,Brewsterite-Sr,Powder
1143,Fluor-buergerite,Powder
1144,Tugtupite,"Powder, intimately mixed with albite"
1145,Tincalconite,Powder
1146,Fluorapophyllite-(K),Powder
1147,Pollucite,Powder
1148,Julgoldite-(Fe2+),"Powder, mixed with quartz"
1149,Chrysotile,Powder
1150,Ishikawaite,Powder
1151,Polylithionite,"Powder, refined as 2M1 polytype"
1152,Stibiotantalite,Powder
1153,Mimetite,Powder
1154,Phenakite,Powder
1155,Clinohumite,Powder
1156,Aeschynite-(Y),"Powder, pattern is consistent with a partially metamic sample of aeschynite-(Ce)"
1157,Woodhouseite,Powder
1158,Aurichalcite,Powder
1159,Wulfenite,Powder
1160,Axinite-(Fe),Powder
1161,Manganite,Powder
1162,Beryllonite,Powder
1163,Paradamite,Powder
1164,Triplite,Powder
1165,Axinite-(Mn),Powder
1166,Zinkenite,"Powder, with stibnite"
1167,Orthoclase,Powder
1168,Descloizite,Powder
1169,Alum-(K),Powder
1170,Clinohumite,Powder
1171,Dolomite,Powder
1172,Vivianite,Powder
1173,Clinozoisite,Powder
1174,Carnallite,Powder
1175,Wittichenite,Powder
1176,Grossular,Powder
1177,Fluorite,Powder
1178,Harmotome,Powder
1179,Kyanite,Powder
1180,Rhodizite,Powder
1181,Wavellite,Powder
1182,Hureaulite,Powder
1183,Vanadinite,Powder
1184,Scheelite,Powder
1185,Fluorite,Powder
1186,Actinolite,Powder
1187,Dietrichite,Powder
1188,Leiteite,Powder
1189,Actinolite,Powder
1190,Forsterite,Powder
1191,Fluorapophyllite-(K),Powder
1192,Grossular,Powder
1193,Phlogopite,Powder
1194,Eudidymite,Powder
1195,Beaverite-(Cu),Powder
1196,Dravite,Powder
1197,Bastnasite-(Ce),Powder
1198,Siderite,Powder
1199,Marialite,Powder
1200,Haiweeite,"Powder, using Mo radiation"
1201,Ferberite,Powder
1202,Babingtonite,Powder
1203,Natrolite,Powder
1204,Braitschite-(Ce),"Powder, using Mo radiation"
1205,Zincite,Powder
1206,Chenevixite,Powder
1207,Epidote,Powder
1208,Olmiite,Powder
1209,Sulphur,Powder
1210,Magnesio-fluoro-arfvedsonite,Powder
1211,Sussexite,Powder
1212,Cerussite,Powder
1213,Stromeyerite,Powder
1214,Spencerite,Powder
1215,Clinozoisite,Powder
1216,Grossular,Powder
1217,Pargasite,Powder
1218,Catapleiite,Powder
1219,Dolomite,Powder
1220,Talc,Powder
1221,Struvite,Powder
1222,Mimetite,Powder
1223,Tetrahedrite-(Zn),Powder
1224,Pyrope,Powder
1225,Kapustinite,"Powder, refined as cubic because peaks overlap too much to properly refine the monoclinic cell"
1226,Calcite,Powder
1227,Vlasovite,Powder
1228,Piemontite,Powder
1229,Muscovite,Powder
1230,Crocoite,Powder
1231,Diopside,Powder
1232,Scorodite,Powder
1233,Andradite,Powder
1234,Bromargyrite,Powder
1235,Elpidite,Powder
1236,Magnesiochromite,Powder
1237,Topaz,Powder
1238,Muscovite,Powder
1239,Ferrimolybdite,Powder
1240,Ankerite,Powder
1241,Kirschsteinite,Powder
1242,Bastnasite-(Ce),Powder
1243,K3Fe(CN)5NO,Powder
1244,Andradite,Powder
1245,Cuprite,Powder
1246,Silicon,Powder
1247,Witherite,Powder
1248,Heulandite-Ca,Powder
1249,Amblygonite,"Powder, mixed with spodumene and wavellite"
1250,Chevkinite-(Ce),Powder
1251,Triphylite,Powder
1252,Hydroxylherderite,Powder
1253,Epidote,Powder
1254,Titanite,Powder
1255,Ferrierite-Mg,Powder
1256,Spessartine,Powder
1257,Pyrochlore,Powder
1258,Fluorapophyllite-(K),Powder
1259,Calcite,Powder
1260,Beryl,Powder
1261,Agardite-(Y),"Powder, using Mo radiation"
1262,Uranophane,"Powder, using Mo radiation"
1263,Enstatite,Powder
1264,Petalite,Powder
1265,Teallite,Powder
1266,Witherite,Powder
1267,Nepheline,Powder
1268,Xenotime-(Y),Powder
1269,Elpidite,Powder
1270,Edenite,Powder
1271,Rhodochrosite,Powder
1272,Clinoptilolite-Ca,Powder
1273,Zoisite,Powder
1274,Magnetite,Powder
1275,Gartrellite,"Powder, mixed with quartz"
1276,Talc,Powder
1277,Laumontite,Powder
1278,Stichtite,Powder
1279,Szaibelyite,Powder
1280,Datolite,Powder
1281,Phenakite,Powder
1282,Covellite,Powder
1283,Forsterite,Powder
1284,Ullmannite,Powder
1285,Phillipsite-Ca,Powder
1286,Elbaite,Powder
1287,Gehlenite,Powder
1288,Pyrosmalite-(Fe),Powder
1289,Scolecite,Powder
1290,Sapphirine,Powder
1291,Amblygonite,"Powder, mixed with spodumene and wavellite"
1292,Colemanite,Powder
1293,Spinel,Powder
1294,Helvine,Powder
1295,Titanite,Powder
1296,Anorthite,Powder
1297,Pyrochlore,Powder
1298,Grunerite,Powder
1299,Papagoite,Powder
1300,Franklinite,Powder
1301,Smithsonite,Powder
1302,Ezcurrite,Powder
1303,Covellite,Powder
1304,Romarchite,"Powder, using Mo radiation"
1305,Sphalerite,Powder
1306,Albite,Powder
1307,Cordierite,Powder
1308,Chalcopyrite,Powder
1309,Elbaite,Powder
1310,Crocoite,Powder
1311,Ludlamite,Powder
1312,Hureaulite,Powder
1313,Duftite,"Powder, using Mo radiation"
1314,Hematite,Powder
1315,Xenotime-(Y),Powder
1316,Soddyite,Powder
1317,Actinolite,"Powder, additionally shows small amount of chlorite"
1318,Amber,Powder
1319,Fairfieldite,Powder
1320,Gmelinite-Na,Powder
1321,Pickeringite,Powder
1322,Eucairite,"Powder, using Mo radiation"
1323,Clinozoisite,Powder
1324,Fayalite,Powder
1325,Cuprite,Powder
1326,Ferrowyllieite,Powder
1327,Muscovite,Powder
1328,Metavoltine,"Powder, using Mo radiation"
1329,Magnesiochromite,Powder
1330,Philipsbornite,Powder
1331,Vanadinite,Powder
1332,Polylithionite,"Powder, refined as 2M1 polytype"
1333,Prosopite,Powder
1334,Hauyne,Powder
1335,Adamite,Powder
1336,Eosphorite,Powder
1337,Sanidine,Powder
1338,Stellerite,"Powder, mixed with chabazite"
1339,Witherite,Powder
1340,Agrellite,Powder
1341,Axinite-(Fe),Powder
1342,Spodumene,Powder
1343,Gillespite,Powder
1344,Ishikawaite,Powder
1345,Microcline,Powder
1346,Starkeyite,Powder
1347,Diopside,Powder
1348,Brazilianite,Powder
1349,Realgar,Powder
1350,Spinel,Powder
1351,Chalcanthite,Powder
1352,Legrandite,Powder
1353,Benitoite,Powder
1354,Kovdorskite,Powder
1355,Pseudomalachite,Powder
1356,Gypsum,Powder
1357,Molybdite,Powder
1358,Almandine,Powder
1359,Beryl,Powder
1360,Hedenbergite,Powder
1361,Titanite,Powder
1362,Barrerite,Powder
1363,Anorthite,Powder
1364,Wiluite,Powder
1365,Argentojarosite,Powder
1366,Volborthite,Powder
1367,Chenevixite,Powder
1368,Parahopeite,Powder
1369,Larisaite,"Powder, using Mo radiation"
1370,Spinel,Powder
1371,Chkalovite,Powder
1372,Columbite-(Fe),Powder
1373,Meta-autunite,Powder
1374,Columbite-(Fe),Powder
1375,Elbaite,Powder
1376,Chiolite,Powder
1377,Ammoniomagnesiovoltaite,Powder
1378,Smithsonite,Powder
1379,Viitaniemiite,Powder
1380,Paravauxite,Powder
1381,Barysilite,Powder
1382,Zircon,Powder
1383,Andalusite,Powder
1384,Hedenbergite,Powder
1385,Edenite,Powder
1386,Weloganite,Powder
1387,Pyromorphite,Powder
1388,Pyrophyllite,Powder
1389,Hematite,Powder
1390,Vivianite,Powder
1391,Pyrochlore,Powder
1392,Epidote,Powder
1393,Ferrimolybdite,"Powder, using Mo radiation"
1394,Albite,Powder
1395,Calcurmolite,"Powder, using Mo radiation"
1396,Tinticite,Powder
1397,Cordierite,Powder
1398,Calcite,Powder
1399,Tugarinovite,Powder
1400,Bastnasite-(Ce),Powder
1401,Beryl,Powder
1402,Metatorbernite,Powder
1403,Chamosite,Powder
1404,Shortite,Powder
1405,Hardystonite,Powder
1406,Molybdenum,Powder
1407,Muscovite,Powder
1408,Fluorcalciomicrolite,Powder
1409,Pseudomalachite,"Powder, using Mo radiation"
1410,Jadeite,Powder
1411,Anorthite,Powder
1412,Euxenite-(Y),Powder
1413,Andradite,Powder
1414,Petalite,Powder
1415,Marialite,Powder
1416,Siderite,Powder
1417,Villiaumite,Powder
1418,Sphalerite,Powder
1419,Sanbornite,Powder
1420,Diopside,Powder
1421,Spessartine,Powder
1422,Zwieselite,Powder
1423,Carnallite,Powder
1424,Howlite,Powder
1425,Clinofergusonite-(Ce),Powder
1426,Silver,Hammered into thin foil
1427,Gaspeite,Powder
1428,Diaboleite,Powder
1429,Thenardite,Powder
1430,Titanite,Powder
1431,Ferrimolybdite,Powder
1432,Paravauxite,Powder
1433,Epistilbite,Powder
1434,Whewellite,Powder
1435,Taranakite,Powder
1436,Realgar,Powder
1437,Renierite,Powder
1438,Bismuth,Powder
1439,Marokite,Powder
1440,Vivianite,Powder
1441,Polyhalite,Powder
1442,Vivianite,Powder
1443,Edingtonite,Powder
1444,Wendwilsonite,Powder
1445,Delhayelite,Powder
1446,Hardystonite,Powder
1447,Elbaite,Powder
1448,Hydroxylherderite,Powder
1449,Montebrasite,Powder
1450,Cuprite,Powder
1451,Taranakite,Powder
1452,Bromargyrite,Powder
1453,Gaudefroyite,Powder
1454,Syngenite,Powder
1455,Svanbergite,Powder
1456,Grossular,Powder
1457,Chalcopyrite,Powder
1458,Brannerite,Powder
1459,Scheelite,Powder
1460,Hastingsite,Powder
1461,Garronite-Ca,Powder
1462,Ankerite,Powder
1463,Sillimanite,Powder
1464,Magadiite,Powder
1465,Kaliborite,Powder
1466,Chapmanite,Powder
1467,Polylithionite,"Powder, with trace corundum contamination from the grinding process"
1468,Wohlerite,Powder
1469,Hambergite,Powder
1470,Colemanite,Powder
1471,Blodite,Powder
1472,Polydymite,Powder
1473,Glauberite,Powder
1474,Paramontroseite,Powder
1475,Opal,Powder
1476,Augelite,Powder
1477,Beryl,Powder
1478,Andradite,Powder
1479,Albite,Powder
1480,Gyrolite,Powder
1481,Andalusite,Powder
1482,Talc,Powder
1483,Platinum,"Powder, using Mo radiation"
1484,Tourmaline,Powder
1485,Muscovite,Powder
1486,Dawsonite,Powder
1487,Woodwardite,"Powder, using Mo radiation"
1488,Sussexite,Powder
1489,Chabazite-Ca,Powder
1490,Leucite,Powder
1491,Phlogopite,Powder
1492,Serandite,Powder
1493,Yoderite,Powder
1494,Tobermorite,Powder
1495,Vladimirivanovite,Powder
1496,Vanadinite,Powder
1497,Xanthoxenite,Powder
1498,Hibonite,Powder
1499,Spinel,Powder
1500,Thomsenolite,Powder
1501,Ferrimolybdite,Powder
1502,Phlogopite,Powder
1503,Orpiment,Powder
1504,Fluorapatite,Powder
1505,Leucophanite,Powder
1506,Tiemannite,Powder
1507,Analcime,Powder
1508,Cechite,Powder
1509,Hausmannite,Powder
1510,Suolunite,Powder
1511,Almandine,Powder
1512,Magnetite,Powder
1513,Sapphirine,Powder
1514,Ammonioalunite,Powder
1515,Pyrophyllite,Powder
1516,Riebeckite,Powder
1517,Anorthite,Powder
1518,Lipuite,Powder
1519,Ferberite,Powder
1520,Willemite,Powder
1521,Prosopite,Powder
1522,Zoisite,Powder
1523,Allactite,Powder
1524,Rammelsbergite,Powder
1525,Ephesite,Powder
1526,Suolunite,Powder
1527,Plumbogummite,Powder
1528,Fluorapatite,Powder
1529,Sapphirine,Powder
1530,Conichalcite,"Powder, mixed with adamite"
1531,Hastingsite,Powder
1532,Richterite,Powder
1533,Lamprophyllite,Powder
1534,Pyrophyllite,Powder
1535,Topaz,Powder
1536,Tinzenite,Powder
1537,Tennantite-(Zn),Powder
1538,Tennantite-(Zn),Powder
1539,Colemanite,Powder
1540,Vanadinite,Powder
1541,Heklaite,Powder
1542,Fluorite,Powder
1543,Yuksporite,Powder
1544,Lazulite,Powder
1545,Brannerite,Powder
1546,Fluorapatite,Powder
1547,Leiteite,Powder
1548,Haiweeite,"Powder, using Mo radiation"
1549,Zunyite,Powder
1550,Bikitaite,Powder
1551,Aurichalcite,Powder
1552,Gyrolite,Powder
1553,Gillespite,Powder
1554,Rutile,Powder
1555,Allanite-(Ce),Powder
1556,Rhodochrosite,Powder
1557,Petalite,Powder
1558,Chalcosiderite,"Powder, using Mo radiation"
1559,Thorianite,Powder
1560,Stellerite,Powder
1561,Zeophyllite,Powder
1562,Sorensenite,Powder
1563,Stibiotantalite,Powder
1564,Fluorapophyllite-(K),Powder
1565,Despujolsite,Powder
1566,Manganite,Powder
1567,Montebrasite,Powder
1568,Clinoptilolite-Na,Powder
1569,Nahcolite,Powder
1570,Chlorartinite,"Powder, mixed with aragonite"
1571,Sogdianite,Powder
1572,Vanadinite,Powder
1573,Axinite-(Fe),Powder
1574,Eudialyte,Powder
1575,Sulphohalite,Powder
1576,Manganite,Powder
1577,Krohnkite,Powder
1578,Naumannite,"Powder, using Mo radiation"
1579,Topaz,Powder
1580,Baryte,Powder
1581,Microcline,Powder
1582,Uraninite,Powder
1583,Chalcopyrite,Powder
1584,Gahnite,Powder
1585,Piemontite,Powder
1586,Bastnasite-(Ce),Powder
1587,Elbaite,Powder
1588,Pyrite,"Powder, using Mo radiation"
1589,Stichtite,"Powder, using Mo radiation"
1590,Topaz,Powder
1591,Orthoclase,Powder
1592,Platinum,"Powder, using Mo radiation"
1593,Spessartine,Powder
1594,Teallite,Powder
1595,Reedmergnerite,Powder
1596,Euxenite-(Y),Powder
1597,Minium,Powder
1598,Boleite,Powder
1599,Fluoro-richterite,Powder
1600,Nitratine,Powder
1601,Gearksutite,Powder
1602,Petzite,Powder
1603,Ardealite,Powder
1604,Heulandite-Ca,Powder
1605,Triphylite,Powder
1606,Annite,Powder
1607,Awaruite,"Powder, mixed with andradite: a:12.0607(4)"
1608,Spessartine,Powder
1609,Leucite,Powder
1610,Eosphorite,Powder
1611,Ulexite,Powder
1612,Adamite,Powder
1613,Tiemannite,Powder
1614,Alunogen,Powder
1615,Baddeleyite,Powder
1616,Polydymite,Powder
1617,Dolomite,Powder
1618,Simpsonite,Powder
1619,Baryte,Powder
1620,Shattuckite,Powder
1621,Erythrite,Powder
1622,Gahnite,Powder
1623,Triphylite,Powder
1624,Axinite-(Fe),Powder
1625,Karibibite,"Powder, using Mo radiation"
1626,Langite,Powder
1627,Trolleite,Powder
1628,Topaz,Powder
1629,Epidote,Powder
1630,Cancrinite,Powder
1631,Cubic zirconia,Powder
1632,Beryllonite,Powder
1633,Hibonite,Powder
1634,Silicon,Powder
1635,Marialite,Powder
1636,Dolomite,Powder
1637,Anglesite,Powder
1638,Tunellite,Powder
1639,Allanite-(Ce),Powder
1640,Wardite,Powder
1641,Cobaltite,Powder
1642,Sogdianite,Powder
1643,Tennantite-(Zn),Powder
1644,Triplite,Powder
1645,Foitite,Powder
1646,Salammoniac,Powder
1647,Cerussite,Powder
1648,Cryolite,Powder
1649,Vesuvianite,Powder
1650,Jamesonite,"Powder, mixed with sphalerite a:5.4182(3)"
1651,Cinnabar,Powder
1652,Felsobanyaite,Powder
1653,Brassite,Powder
1654,Elbaite,Powder
1655,Libyan Desert glass,"Powder, amorphous"
1656,Halite,Powder
1657,Marialite,Powder
1658,Andradite,Powder
1659,Ezcurrite,Powder
1660,Topaz,Powder
1661,Ardealite,Powder
1662,Smithsonite,Powder
1663,Gehlenite,Powder
1664,Azurite,Powder
1665,Calcite,Powder
1666,Thomsonite-Ca,Powder
1667,Enstatite,"Powder, mixed with anthophyllite (cell parameters 18.525(2), 18.000(4), 5.284(2))"
1668,Curienite,Powder
1669,Vesuvianite,Powder
1670,Tungstenite,"Powder, mixed with galena"
1671,Celestine,Powder
1672,Enargite,Powder
1673,Chlorargyrite,Powder
1674,Hydromagnesite,Powder
1675,Fairfieldite,Powder
1676,Galena,Powder
1677,Richterite,Powder
1678,Natroalunite,Powder
1679,Triplite,Powder
1680,Humite,Powder
1681,Thorianite,Powder
1682,Lizardite,Powder
1683,Siderazot,Powder
1684,Beryl,Powder
1685,Forsterite,Powder
1686,Spinel,Powder
1687,Fluoro-richterite,Powder
1688,Cancrinite,Powder
1689,Alabandite,Powder
1690,Glauberite,Powder
1691,Olivenite,Powder
1692,Whiteite-(CaFeMg),Powder
1693,Pyromorphite,Powder
1694,Humberstonite,Powder
1695,Tschermigite,Powder
1696,Merwinite,Powder
1697,Balangeroite,Powder
1698,Fluorapatite,Powder
1699,Brazilianite,Powder
1700,Picropharmacolite,"Powder, using Mo radiation"
1701,Kyanite,Powder
1702,Spessartine,Powder
1703,Uvarovite,Powder
1704,Topaz,Powder
1705,Diopside,Powder
1706,Witherite,Powder
1707,Thorianite,Powder
1708,Guyanaite,"Powder, mixture includes bracewellite, eskolaite and quartz"
1709,Fluor-liddicoatite,Powder
1710,Thorianite,Powder
1711,Andalusite,Powder
1712,Burbankite,Powder
1713,Chrysotile,Powder
1714,Balangeroite,Powder
1715,Braunite,Powder
1716,Vesuvianite,Powder
1717,Phillipsite-Ca,Powder
1718,Mendipite,Powder
1719,Schwertmannite,"Powder, sharp peak is quartz"
1720,Natrodufrenite,Powder
1721,Cerussite,Powder
1722,Chalcanthite,Powder
1723,Plombierite,Powder
1724,Vivianite,Powder
1725,Yttrotantalite-(Y),Powder
1726,Manjiroite,Powder
1727,Albite,Powder
1728,Enstatite,Powder
1729,Sepiolite,Powder
1730,Azurite,Powder
1731,Titanite,Powder
1732,Clinohumite,Powder
1733,Dietrichite,Powder
1734,Bikitaite,Powder
1735,Bannisterite,Powder
1736,Topaz,Powder
1737,Sepiolite,Powder
1738,Vuagnatite,Powder
1739,Carnotite,Powder
1740,Catapleiite,Powder
1741,Naumannite,"Powder, using Mo radiation"
1742,Senarmontite,Powder
1743,Wohlerite,Powder
1744,Boulangerite,Powder
1745,Siderite,Powder
1746,Stibarsen,"Powder, mixed with arsenic; a: 4.1392(5), alpha: 54.123(6)"
1747,Huntite,Powder
1748,Wulfenite,Powder
1749,Realgar,Powder
1750,Pyrargyrite,Powder
1751,Vayrynenite,Powder
1752,Triphylite,Powder
1753,Liebigite,Powder
1754,Harmotome,Powder
1755,Elbaite,Powder
1756,Zircon,Powder
1757,Gormanite,Powder
1758,Crocoite,Powder
1759,Orthoclase,Powder
1760,Huntite,Powder
1761,Cylindrite,Powder
1762,Hydroxylclinohumite,Powder
1763,Pyromorphite,Powder
1764,Paravauxite,Powder
1765,Phurcalite,"Powder, using Mo radiation"
1766,Uranophane,Powder
1767,Grossular,Powder
1768,Natrolite,Powder
1769,Aegirine,Powder
1770,Spodumene,Powder
1771,Olivenite,Powder
1772,Grossular,Powder
1773,Stilbite-Ca,Powder
1774,Spodumene,Powder
1775,Opal,Powder
1776,Vonsenite,Powder
1777,Salammoniac,Powder
1778,Taneyamalite,Powder
1779,Thomsonite-Ca,Powder
1780,Microcline,Powder
1781,Bromargyrite,"Powder, using Mo radiation"
1782,Thomsonite-Ca,Powder
1783,Vivianite,Powder
1784,Digenite,Powder
1785,Pyroxmangite,Powder
1786,Eosphorite,Powder
1787,Pyrochlore,Powder
1788,Kernite,Powder
1789,Grunerite,Powder
1790,Ilmenite,Powder
1791,Trona,Powder
1792,Malachite,"Powder, using Mo radiation"
1793,Manganvesuvianite,Powder
1794,Aragonite,Powder
1795,Kurnakovite,Powder
1796,Despujolsite,Powder
1797,Nahcolite,Powder
1798,Pseudomalachite,Powder
1799,Beaverite-(Cu),Powder
1800,Colemanite,Powder
1801,Delafossite,Powder
1802,Edenite,Powder
1803,Rhodochrosite,Powder
1804,Tenorite,"Powder, using Mo radiation"
1805,Scheelite,Powder
1806,Natrolite,Powder
1807,Ferrimolybdite,Powder
1808,Bahianite,Powder
1809,Nesquehonite,Powder
1810,Pyrochlore,Powder
1811,Valleriite,Powder
1812,Romarchite,"Powder, using Mo radiation"
1813,Spertiniite,"Powder, using Mo radiation"
1814,Stichtite,Powder
1815,Priceite,Powder
1816,Fluor-uvite,Powder
1817,Larisaite,"Powder, using Mo radiation"
1818,Bustamite,Powder
1819,Humite,Powder
1820,Marialite,Powder
1821,Mendipite,Powder
1822,Perovskite,Powder
1823,Andalusite,Powder
1824,Heulandite-Ca,Powder
1825,Gaylussite,Powder
1826,Bastnasite-(Ce),Powder
1827,Anglesite,Powder
1828,Krohnkite,Powder
1829,Forsterite,Powder
1830,Fluorapatite,Powder
1831,Microcline,Powder
1832,Grossular,Powder
1833,Andalusite,Powder
1834,Calcite,Powder
1835,Borax,"Powder, mixture with tincalconite; a: 11.125(2), c: 21.198(7)"
1836,Gadolinite-(Y),Powder
1837,Perite,"Powder, using Mo radiation"
1838,Arfvedsonite,Powder
1839,Portlandite,Powder
1840,Humite,Powder
1841,Epidote,Powder
1842,Leucite,Powder
1843,Grunerite,Powder
1844,Whiteite-(CaFeMg),Powder
1845,Kurnakovite,Powder
1846,Corvusite,Powder
1847,Chalcanthite,Powder
1848,Arsenopyrite,Powder
1849,Eudidymite,Powder
1850,Rostite,Powder
1851,Arrojadite-(KNa),Powder
1852,Wollastonite,Powder
1853,Topaz,Powder
1854,Mesolite,Powder
1855,Forsterite,Powder
1856,Pyrochlore,Powder
1857,Perite,"Powder, using Mo radiation"
1858,Amarantite,Powder
1859,Leadhillite,Powder
1860,Marialite,Powder
1861,Paravauxite,Powder
1862,Aragonite,Powder
1863,Diopside,Powder
1864,Fluor-liddicoatite,Powder
1865,Gmelinite-Na,Powder
1866,Hydroxylherderite,Powder
1867,Hastingsite,Powder
1868,Struvite,Powder
1869,Rhodonite,Powder
1870,Almandine,Powder
1871,Cobaltite,Powder
1872,Kovdorskite,Powder
1873,Arsenopyrite,Powder
1874,Brookite,Powder
1875,Satterlyite,Powder
1876,Platinum,"Powder, using Mo radiation"
1877,Clinohedrite,Powder
1878,Babingtonite,Powder
1879,Probertite,Powder
1880,Richterite,Powder
1881,Zinkenite,"Powder, with stibnite"
1882,Greenockite,Powder
1883,Starkeyite,Powder
1884,Muscovite,Powder
1885,Actinolite,Powder
1886,Argentojarosite,Powder
1887,Schrockingerite,Powder
1888,Pyrochlore,Powder
1889,Narsarsukite,Powder
1890,Ulexite,Powder
1891,Gersdorffite,Powder
1892,Meta-autunite,Powder
1893,Diopside,Powder
1894,Planerite,"Powder, using Mo radiation"
1895,Curienite,Powder
1896,Tantalite-(Fe),Powder
1897,Starkeyite,Powder
1898,Opal,Powder
1899,Tinticite,"Powder, with some quartz"
1900,Hastingsite,Powder
1901,Albite,Powder
1902,Thenardite,Powder
1903,Prehnite,Powder
1904,Mordenite,Powder
1905,Rhodonite,Powder
1906,Chlorapatite,Powder
1907,Arsenolamprite,Powder
1908,Brannerite,Powder
1909,Mimetite,Powder
1910,Pyrite,"Powder, using Mo radiation"
1911,Olivenite,Powder
1912,Halite,Powder
1913,Zirkelite,Powder
1914,Elbaite,Powder
1915,Mesolite,Powder
1916,Pyrope,Powder
1917,Fluorapatite,Powder
1918,Chrysocolla,Powder
1919,Babingtonite,Powder
1920,Arsenolite,Powder
1921,Bismutite,Powder
1922,Chabazite-Ca,Powder
1923,Almandine,Powder
1924,Friedelite,Powder
1925,Malachite,"Powder, using Mo radiation"
1926,Sorensenite,Powder
1927,Beryl,Powder
1928,Hambergite,Powder
1929,Halite,Powder
1930,Montebrasite,Powder
1931,Datolite,Powder
1932,Nontronite,Powder
1933,Fluorite,Powder
