H,10.66
He,0.0
Li,4.868932038834951
Be,2.8974358974358974
B,8.352941176470589
C,4.101010101010101
N,6.206521739130435
O,2.715450035435861
F,2.5118549511854953
Ne,0.0
Na,3.7142857142857144
Mg,1.9109589041095891
Al,1.600451467268623
Si,2.1192660550458715
P,2.701863354037267
S,3.359550561797753
Cl,1.964705882352941
Ar,0.0
K,2.992857142857143
Ca,1.7165775401069518
Sc,1.3492063492063493
Ti,2.524390243902439
V,3.276315789473684
Cr,2.9363636363636365
Mn,3.2175925925925926
Fe,2.1603498542274053
Co,2.5454545454545454
Ni,1.8669724770642202
Cu,1.9869451697127938
Zn,1.2125
Ga,1.800711743772242
Ge,1.5632183908045978
As,3.53125
Se,3.1540983606557376
Br,1.9955156950672646
Kr,0.0
Rb,1.7724867724867726
Sr,1.851528384279476
Y,1.3878326996197718
Zr,1.7391304347826086
Nb,3.1956521739130435
Mo,3.5157894736842104
Tc,1.2444444444444445
Ru,1.3888888888888888
Rh,0.8706293706293706
Pd,1.7224489795918367
Ag,1.6266666666666667
Cd,1.3241379310344827
In,1.268
Sn,1.8860294117647058
Sb,1.6008230452674896
Te,5.31496062992126
I,3.30718954248366
Xe,0.0
Cs,1.7232704402515724
Ba,2.167539267015707
La,2.1291866028708135
Ce,1.7973856209150327
Pr,1.3707865168539326
Nd,1.0609137055837563
Pm,1.3333333333333333
Sm,1.1361256544502618
Eu,1.6796875
Gd,1.0265486725663717
Tb,1.017094017094017
Dy,1.0319148936170213
Ho,0.7981220657276995
Er,1.116504854368932
Tm,1.0
Yb,1.4285714285714286
Lu,0.9748427672955975
Hf,1.4
Ta,2.8253968253968256
W,2.689655172413793
Re,1.6271186440677967
Os,0.8717948717948718
Ir,1.1590909090909092
Pt,1.375
Au,1.5192307692307692
Hg,1.8024691358024691
Tl,1.603896103896104
Pb,2.3176470588235296
Bi,2.1379310344827585
Po,0.0
At,0.0
Rn,0.0
Fr,0.0
Ra,0.0
Ac,1.2
Th,1.4893617021276595
U,2.3488372093023258
Pu,1.263157894736842
Cm,0.0
Bk,0.0
Cf,0.0
Es,0.0
Fm,0.0
Md,0.0
No,0.0
