No.	Pos. [�2Th.]	FWHM Left [�2Th.]	Area calc.	h	k	l	Multiplicity	F obs.	F calc.	Backgr.[cts]	d-spacing [�]	Height [cts]	Shape Left	Source	Status	Crystallite Size only [�]	Micro Strain only [%]
69	68.9659	0.1248	0.00	 	 	 	 	0.000000	0.000000	0.00	1.36395	3181.42	0.600	Search Peaks	Included	1404.480000	0.048557
70	70.1315	0.2184	0.00	 	 	 	 	0.000000	0.000000	0.00	1.34078	3516.96	0.600	Search Peaks	Included	498.403200	0.134508
71	72.3570	0.2184	0.00	 	 	 	 	0.000000	0.000000	0.00	1.30492	1469.42	0.600	Search Peaks	Included	507.791800	0.128490
72	72.7830	0.1248	0.00	 	 	 	 	0.000000	0.000000	0.00	1.29833	4960.47	0.600	Search Peaks	Included	1484.994000	0.043715
73	72.9864	0.1872	0.00	 	 	 	 	0.000000	0.000000	0.00	1.29843	2303.87	0.600	Search Peaks	Included	646.453300	0.100427
74	73.4042	0.1248	0.00	 	 	 	 	0.000000	0.000000	0.00	1.28887	549.28	0.600	Search Peaks	Included	1500.550000	0.042947
75	73.9533	0.1560	0.00	 	 	 	 	0.000000	0.000000	0.00	1.28065	3486.66	0.600	Search Peaks	Included	895.771200	0.071483
76	74.1852	0.1560	0.00	 	 	 	 	0.000000	0.000000	0.00	1.28040	1601.86	0.600	Search Peaks	Included	900.431900	0.071099
77	75.9197	0.1872	0.00	 	 	 	 	0.000000	0.000000	0.00	1.25230	1760.46	0.600	Search Peaks	Included	664.033300	0.094295
78	76.7596	0.1872	0.00	 	 	 	 	0.000000	0.000000	0.00	1.24067	1548.17	0.600	Search Peaks	Included	669.933200	0.092597
79	78.5774	0.2496	0.00	 	 	 	 	0.000000	0.000000	0.00	1.21646	1843.19	0.600	Search Peaks	Included	445.465800	0.136538
80	78.9518	0.1872	0.00	 	 	 	 	0.000000	0.000000	0.00	1.21163	1918.35	0.600	Search Peaks	Included	686.270900	0.088276
81	79.2483	0.1560	0.00	 	 	 	 	0.000000	0.000000	0.00	1.21084	1130.64	0.600	Search Peaks	Included	960.419500	0.063037
