10,463
10.02,446
10.04,439
10.06,448
10.08,479
10.1,510
10.12,444
10.14,469
10.16,449
10.18,449
10.2,432
10.22,459
10.24,443
10.26,434
10.28,486
10.3,489
10.32,454
10.34,429
10.36,481
10.38,432
10.4,487
10.42,438
10.44,470
10.46,454
10.48,458
10.5,440
10.52,450
10.54,473
10.56,474
10.58,435
10.6,455
10.62,416
10.64,472
10.66,443
10.68,462
10.7,435
10.72,460
10.74,426
10.76,438
10.78,437
10.8,397
10.82,437
10.84,452
10.86,468
10.88,453
10.9,459
10.92,431
10.94,444
10.96,447
10.98,448
11,432
11.02,438
11.04,461
11.06,436
11.08,423
11.1,444
11.12,422
11.14,446
11.16,421
11.18,462
11.2,453
11.22,416
11.24,434
11.26,451
11.28,431
11.3,492
11.32,457
11.34,437
11.36,498
11.38,428
11.4,417
11.42,461
11.44,417
11.46,435
11.48,449
11.5,415
11.52,423
11.54,433
11.56,435
11.58,412
11.6,458
11.62,453
11.64,423
11.66,467
11.68,446
11.7,439
11.72,417
11.74,451
11.76,427
11.78,486
11.8,444
11.82,466
11.84,415
11.86,422
11.88,470
11.9,413
11.92,456
11.94,419
11.96,436
11.98,440
12,460
12.02,471
12.04,447
12.06,428
12.08,433
12.1,446
12.12,446
12.14,467
12.16,460
12.18,435
12.2,440
12.22,422
12.24,401
12.26,397
12.28,416
12.3,420
12.32,429
12.34,432
12.36,428
12.38,455
12.4,400
12.42,451
12.44,415
12.46,438
12.48,423
12.5,457
12.52,456
12.54,435
12.56,454
12.58,420
12.6,414
12.62,430
12.64,438
12.66,426
12.68,471
12.7,427
12.72,469
12.74,464
12.76,429
12.78,432
12.8,449
12.82,420
12.84,436
12.86,461
12.88,395
12.9,459
12.92,422
12.94,440
12.96,403
12.98,448
13,410
13.02,444
13.04,401
13.06,429
13.08,445
13.1,442
13.12,430
13.14,438
13.16,449
13.18,449
13.2,466
13.22,454
13.24,495
13.26,447
13.28,505
13.3,452
13.32,495
13.34,482
13.36,479
13.38,463
13.4,442
13.42,456
13.44,451
13.46,413
13.48,460
13.5,490
13.52,414
13.54,439
13.56,445
13.58,479
13.6,448
13.62,436
13.64,459
13.66,452
13.68,480
13.7,470
13.72,467
13.74,449
13.76,496
13.78,492
13.8,480
13.82,502
13.84,523
13.86,538
13.88,564
13.9,608
13.92,673
13.94,681
13.96,766
13.98,755
14,942
14.02,950
14.04,1074
