10,317
10.02,328
10.04,310
10.06,341
10.08,350
10.1,332
10.12,304
10.14,333
10.16,298
10.18,323
10.2,330
10.22,300
10.24,339
10.26,348
10.28,285
10.3,327
10.32,287
10.34,297
10.36,313
10.38,344
10.4,320
10.42,331
10.44,337
10.46,330
10.48,315
10.5,335
10.52,312
10.54,318
10.56,316
10.58,343
10.6,306
10.62,320
10.64,303
10.66,335
10.68,318
10.7,298
10.72,334
10.74,287
10.76,296
10.78,320
10.8,337
10.82,330
10.84,294
10.86,296
10.88,323
10.9,324
10.92,299
10.94,333
10.96,311
10.98,311
11,331
11.02,286
11.04,284
11.06,290
11.08,317
11.1,311
11.12,322
11.14,302
11.16,303
11.18,287
11.2,336
11.22,296
11.24,309
11.26,316
11.28,307
11.3,298
11.32,332
11.34,335
11.36,313
11.38,292
11.4,292
11.42,343
11.44,321
11.46,302
11.48,299
11.5,297
11.52,303
11.54,313
11.56,306
11.58,310
11.6,306
11.62,304
11.64,309
11.66,304
11.68,319
11.7,304
11.72,328
11.74,331
11.76,342
11.78,329
11.8,296
11.82,291
11.84,314
11.86,287
11.88,296
11.9,316
11.92,292
11.94,298
11.96,267
11.98,297
12,318
12.02,301
12.04,314
12.06,321
12.08,302
12.1,279
12.12,316
12.14,307
12.16,279
12.18,298
12.2,295
12.22,317
12.24,325
12.26,308
12.28,309
12.3,333
12.32,271
12.34,324
12.36,272
12.38,285
12.4,275
12.42,310
12.44,280
12.46,295
12.48,277
12.5,307
12.52,290
12.54,283
12.56,335
12.58,300
12.6,312
12.62,325
12.64,292
12.66,294
12.68,287
12.7,285
12.72,269
12.74,299
12.76,304
12.78,285
12.8,283
12.82,284
12.84,288
12.86,303
12.88,321
12.9,278
12.92,331
12.94,291
12.96,284
12.98,321
13,320
13.02,305
13.04,298
13.06,279
13.08,275
13.1,288
13.12,286
13.14,310
13.16,296
13.18,292
13.2,322
13.22,340
13.24,288
13.26,340
13.28,274
13.3,305
13.32,291
13.34,298
13.36,295
13.38,305
13.4,332
13.42,304
13.44,307
13.46,309
13.48,290
13.5,309
13.52,292
13.54,292
13.56,303
13.58,279
13.6,302
13.62,324
13.64,327
13.66,304
13.68,330
13.7,343
13.72,358
13.74,312
13.76,337
13.78,364
13.8,323
13.82,345
13.84,373
13.86,399
13.88,431
13.9,452
13.92,471
13.94,531
13.96,532
13.98,599
14,671
14.02,789
14.04,877
14.06,1012
14.08,1165
14.1,1523
14.12,1932
14.14,2434
14.16,2809
14.18,2645
14.2,2119
14.22,1311
14.24,823
14.26,546
14.28,470
14.3,409
14.32,424
14.34,382
14.36,359
14.38,356
14.4,338
14.42,329
14.44,363
14.46,338
14.48,307
14.5,327
14.52,299
14.54,317
14.56,311
14.58,319
14.6,290
14.62,307
14.64,316
14.66,324
14.68,333
14.7,332
14.72,321
14.74,289
14.76,304
14.78,302
14.8,306
14.82,287
14.84,247
14.86,293
14.88,295
14.9,300
14.92,285
14.94,282
14.96,298
14.98,270
15,316
15.02,292
15.04,284
15.06,281
15.08,310
15.1,291
15.12,275
15.14,289
15.16,292
15.18,310
15.2,283
15.22,271
15.24,285
15.26,262
15.28,279
15.3,312
15.32,273
15.34,272
15.36,275
15.38,301
15.4,321
15.42,339
15.44,282
15.46,293
15.48,322
15.5,283
15.52,301
15.54,285
15.56,256
15.58,302
15.6,291
15.62,294
15.64,292
15.66,304
15.68,292
15.7,272
15.72,289
15.74,284
15.76,300
15.78,251
15.8,291
15.82,287
15.84,292
15.86,274
15.88,292
15.9,291
15.92,289
15.94,284
15.96,276
15.98,283
16,318
16.02,284
16.04,279
16.06,253
16.08,263
16.1,268
16.12,291
16.14,240
16.16,286
16.18,313
16.2,294
16.22,299
16.24,282
16.26,258
16.28,281
16.3,280
16.32,291
16.34,286
16.36,279
16.38,273
16.4,293
16.42,280
16.44,320
16.46,314
16.48,284
16.5,292
16.52,294
16.54,291
16.56,277
16.58,286
16.6,296
16.62,292
16.64,261
16.66,283
16.68,285
16.7,284
16.72,324
16.74,306
16.76,274
16.78,292
16.8,259
16.82,283
16.84,281
16.86,317
16.88,310
16.9,279
16.92,282
16.94,304
16.96,288
16.98,297
17,309
17.02,275
17.04,299
17.06,275
17.08,300
17.1,285
17.12,270
17.14,278
17.16,298
17.18,277
17.2,287
17.22,263
17.24,332
17.26,319
17.28,300
17.3,271
17.32,286
17.34,287
17.36,291
17.38,268
17.4,281
17.42,275
17.44,281
17.46,277
17.48,298
17.5,293
17.52,294
17.54,289
17.56,274
17.58,284
17.6,296
17.62,266
17.64,292
17.66,258
17.68,287
17.7,304
17.72,301
17.74,288
17.76,319
17.78,265
17.8,305
17.82,283
17.84,297
17.86,297
17.88,273
17.9,279
17.92,254
17.94,281
17.96,274
17.98,264
18,279
18.02,269
18.04,288
18.06,276
18.08,288
18.1,266
18.12,276
18.14,265
18.16,286
18.18,294
18.2,266
18.22,261
18.24,288
18.26,302
18.28,297
18.3,278
18.32,265
18.34,291
18.36,278
18.38,309
18.4,279
18.42,278
18.44,255
18.46,294
18.48,277
18.5,282
18.52,297
18.54,273
18.56,287
18.58,284
18.6,270
18.62,282
18.64,314
18.66,319
18.68,308
18.7,235
18.72,294
18.74,265
18.76,270
18.78,311
18.8,293
18.82,295
18.84,292
18.86,281
18.88,293
18.9,311
18.92,310
18.94,277
18.96,283
18.98,262
19,282
19.02,286
19.04,273
19.06,257
19.08,305
19.1,275
19.12,299
19.14,274
19.16,307
19.18,320
19.2,303
19.22,312
19.24,305
19.26,295
19.28,268
19.3,285
19.32,287
19.34,281
19.36,303
19.38,284
19.4,290
19.42,281
19.44,276
19.46,288
19.48,303
19.5,270
19.52,298
19.54,292
19.56,305
19.58,306
19.6,327
19.62,291
19.64,322
19.66,320
19.68,344
19.7,353
19.72,371
19.74,405
19.76,409
19.78,407
19.8,481
19.82,503
19.84,577
19.86,702
19.88,688
19.9,945
19.92,1121
19.94,1385
19.96,1745
19.98,2238
20,2856
20.02,3056
20.04,2766
20.06,2469
20.08,2206
20.1,1796
20.12,1235
20.14,923
20.16,740
20.18,591
20.2,508
20.22,437
20.24,406
20.26,410
20.28,356
20.3,381
20.32,346
20.34,356
20.36,361
20.38,356
20.4,363
20.42,357
20.44,318
20.46,302
20.48,324
20.5,314
20.52,323
20.54,321
20.56,326
20.58,356
20.6,304
20.62,302
20.64,312
20.66,311
20.68,323
20.7,309
20.72,291
20.74,279
20.76,286
20.78,291
20.8,290
20.82,278
20.84,305
20.86,309
20.88,294
20.9,291
20.92,302
20.94,298
20.96,289
20.98,294
21,299
21.02,275
21.04,287
21.06,283
21.08,307
21.1,294
21.12,300
21.14,302
21.16,288
21.18,264
21.2,331
21.22,263
21.24,273
21.26,251
21.28,265
21.3,286
21.32,306
21.34,286
21.36,288
21.38,282
21.4,282
21.42,302
21.44,259
21.46,295
21.48,294
21.5,268
21.52,263
21.54,272
21.56,255
21.58,269
21.6,292
21.62,261
21.64,278
21.66,284
21.68,264
21.7,291
21.72,269
21.74,281
21.76,268
21.78,254
21.8,295
21.82,249
21.84,272
21.86,301
21.88,293
21.9,276
21.92,264
21.94,264
21.96,270
21.98,249
22,259
22.02,294
22.04,282
22.06,295
22.08,256
22.1,258
22.12,255
22.14,250
22.16,273
22.18,250
22.2,255
22.22,286
22.24,283
22.26,272
22.28,250
22.3,253
22.32,270
22.34,232
22.36,278
22.38,292
22.4,276
22.42,280
22.44,256
22.46,270
